YearMonth,all_employees_thousands,unemployment_rate,job_opennings_thousands,avg_hourly_earnings_dollars,avg_weekly_work_hours,producer_price_index,import_price_index,export_price_index
2017-01,12334.0,4.2,374.0,26.36,40.8,185.6,109.3,111.7
2017-02,12350.0,4.0,360.0,26.39,40.7,186.2,109.5,111.9
2017-03,12361.0,3.9,394.0,26.4,40.6,186.7,109.8,112.1
2017-04,12367.0,3.9,381.0,26.53,40.8,187.6,110.0,112.4
2017-05,12377.0,3.2,352.0,26.5,40.8,187.3,109.9,111.9
2017-06,12390.0,3.4,404.0,26.52,40.9,187.6,110.0,112.0
2017-07,12390.0,4.0,394.0,26.63,40.9,187.3,109.8,112.2
2017-08,12435.0,3.9,425.0,26.56,40.8,188.4,110.2,113.0
2017-09,12443.0,3.8,429.0,26.69,40.7,189.6,110.7,113.9
2017-10,12457.0,3.2,423.0,26.72,41.0,190.2,110.6,113.8
2017-11,12472.0,2.6,419.0,26.72,41.0,191.2,111.0,114.3
2017-12,12501.0,3.3,382.0,26.75,40.8,191.3,111.0,114.3
2018-01,12527.0,3.4,449.0,26.84,40.8,192.6,111.4,115.1
2018-02,12551.0,3.6,430.0,26.83,41.0,193.5,112.0,115.6
2018-03,12576.0,3.3,417.0,26.91,40.9,194.0,112.0,115.7
2018-04,12595.0,3.3,443.0,26.94,41.1,195.3,112.3,116.5
2018-05,12623.0,3.4,467.0,26.93,40.9,197.7,112.6,117.2
2018-06,12656.0,3.1,472.0,26.99,41.0,198.4,112.6,117.3
2018-07,12676.0,3.8,476.0,26.98,41.0,198.5,112.5,117.4
2018-08,12688.0,3.2,507.0,27.05,40.9,198.6,112.3,117.3
2018-09,12710.0,3.5,472.0,27.09,40.8,198.9,112.2,117.4
2018-10,12731.0,3.2,502.0,27.13,40.8,200.4,112.3,118.0
2018-11,12741.0,2.9,508.0,27.24,40.8,198.4,112.0,117.0
2018-12,12761.0,2.8,446.0,27.28,40.9,195.2,111.7,115.8
2019-01,12790.0,3.3,435.0,27.25,40.8,194.3,111.4,115.8
2019-02,12782.0,2.9,447.0,27.43,40.6,195.4,111.5,116.5
2019-03,12788.0,2.9,434.0,27.48,40.7,197.4,111.6,117.0
2019-04,12785.0,3.0,452.0,27.44,40.6,199.2,111.4,117.4
2019-05,12778.0,2.3,479.0,27.56,40.6,199.1,111.4,117.3
2019-06,12787.0,2.8,480.0,27.65,40.7,197.0,111.0,116.6
2019-07,12790.0,3.0,466.0,27.69,40.4,197.5,111.1,117.0
2019-08,12789.0,3.2,447.0,27.75,40.5,196.4,110.9,116.7
2019-09,12787.0,3.4,437.0,27.83,40.5,195.9,110.9,116.5
2019-10,12733.0,3.1,398.0,27.88,40.3,196.6,110.7,116.3
2019-11,12777.0,2.7,408.0,28.0,40.5,196.5,110.5,116.3
2019-12,12760.0,2.7,359.0,28.14,40.5,196.4,110.6,116.1
2020-01,12745.0,3.4,409.0,28.2,40.3,196.6,110.8,116.9
2020-02,12743.0,3.9,384.0,28.27,40.5,195.1,110.9,116.2
2020-03,12684.0,4.1,301.0,28.39,40.3,192.3,110.4,115.7
2020-04,11382.0,13.2,294.0,29.24,38.0,186.1,109.2,112.7
2020-05,11610.0,11.6,318.0,29.01,38.7,188.9,109.3,112.5
2020-06,11950.0,9.1,350.0,28.64,39.1,190.2,109.7,113.4
2020-07,11973.0,8.6,432.0,28.74,39.8,192.3,110.2,114.2
2020-08,11999.0,6.7,481.0,28.89,40.1,193.0,111.0,114.7
2020-09,12057.0,6.2,477.0,28.85,40.2,192.9,111.3,115.1
2020-10,12086.0,5.2,538.0,28.86,40.5,193.7,111.3,115.1
2020-11,12118.0,4.7,484.0,28.96,40.4,194.5,111.3,115.4
2020-12,12153.0,4.3,452.0,28.99,40.2,196.7,111.9,116.4
2021-01,12145.0,4.7,517.0,29.04,40.4,199.6,113.0,118.1
2021-02,12179.0,4.8,572.0,29.18,40.2,203.1,113.6,119.3
2021-03,12232.0,5.2,742.0,29.16,40.5,207.9,114.8,121.8
2021-04,12191.0,5.8,822.0,29.3,40.5,210.1,115.9,123.4
2021-05,12219.0,4.8,891.0,29.52,40.4,215.1,117.3,125.2
2021-06,12249.0,5.4,913.0,29.6,40.3,217.9,118.2,126.3
2021-07,12303.0,4.2,971.0,29.73,40.5,219.492,118.2,126.7
2021-08,12349.0,3.6,888.0,29.82,40.4,220.114,118.1,127.0
2021-09,12391.0,3.9,951.0,29.98,40.5,221.869,118.2,127.1
2021-10,12454.0,3.3,962.0,30.11,40.3,225.478,119.1,128.5
2021-11,12498.0,3.1,842.0,30.18,40.5,227.109,119.9,129.0
2021-12,12532.0,2.8,778.0,30.34,40.5,226.47,120.3,128.4
2022-01,12560.0,3.6,885.0,30.53,40.2,231.495,121.9,130.8
2022-02,12608.0,3.2,798.0,30.48,40.6,237.245,123.3,133.1
2022-03,12676.0,3.1,912.0,30.59,40.6,245.404,125.5,137.2
2022-04,12725.0,3.2,987.0,30.78,40.4,249.56,125.8,138.5
2022-05,12739.0,2.8,819.0,30.83,40.4,256.396,126.0,141.3
2022-06,12768.0,3.0,872.0,30.82,40.3,262.418,125.6,141.9
2022-07,12800.0,3.2,950.0,30.93,40.4,256.526,125.2,140.1
2022-08,12826.0,3.3,855.0,31.03,40.3,251.494,124.6,137.5
2022-09,12848.0,2.8,832.0,31.12,40.3,251.891,123.9,136.7
2022-10,12883.0,3.1,750.0,31.29,40.4,254.03,124.0,137.2
2022-11,12896.0,2.7,803.0,31.37,40.2,252.905,123.1,136.5
2022-12,12889.0,1.8,673.0,31.47,40.2,245.115,123.5,133.6
2023-01,12897.0,2.6,712.0,31.65,40.5,249.178,123.0,134.5
2023-02,12900.0,3.0,652.0,31.69,40.3,249.308,123.2,135.2
2023-03,12890.0,2.9,690.0,31.85,40.2,248.98,122.6,135.2
2023-04,12889.0,2.8,637.0,32.03,40.1,248.583,122.7,135.2
2023-05,12874.0,2.7,568.0,32.15,40.1,246.206,122.5,133.6
2023-06,12877.0,2.6,579.0,32.38,40.0,245.784,122.3,133.3
2023-07,12863.0,2.7,553.0,32.57,40.0,245.434,122.0,133.1
2023-08,12856.0,2.7,592.0,32.59,40.0,251.093,122.1,134.7
2023-09,12869.0,3.2,609.0,32.76,40.0,252.368,122.0,135.0
2023-10,12836.0,3.1,571.0,32.84,40.0,249.119,121.4,134.2
2023-11,12858.0,3.1,527.0,33.03,39.9,246.497,121.2,133.6
2023-12,12865.0,3.0,546.0,33.21,39.9,243.266,121.0,132.8
2024-01,12866.0,3.4,550.0,33.34,39.9,244.056,121.8,133.0
2024-02,12853.0,3.0,550.0,33.42,40.0,248.295,121.7,133.8
2024-03,12838.0,3.0,520.0,33.6,40.0,249.516,122.2,134.5
2024-04,12847.0,2.7,483.0,33.62,40.1,251.376,122.7,135.4
2024-05,12849.0,2.7,572.0,33.8,40.2,248.763,123.0,134.8
2024-06,12839.0,3.1,464.0,34.0,40.2,247.72,123.1,134.5
2024-07,12840.0,3.6,528.0,34.08,40.0,249.847,122.9,135.5
2024-08,12800.0,3.5,474.0,34.18,40.0,249.168,122.9,135.0
2024-09,12800.0,3.2,476.0,34.26,40.0,246.339,123.0,134.6
2024-10,12750.0,3.6,463.0,34.36,39.9,247.216,123.1,135.6
2024-11,12770.0,3.4,432.0,34.47,40.1,246.644,123.3,135.6
2024-12,12760.0,3.5,398.0,34.54,40.1,246.103,123.1,135.3
2025-01,12755.0,3.9,502.0,,,248.559,,
2025-02,12765.0,2.9,482.0,,,250.317,,
